Datetime,Water Level (m)
2024-09-29 18:00:00,0.103850536
2024-09-29 19:00:00,0.18847734
2024-09-29 20:00:00,0.26179957
2024-09-29 21:00:00,0.34728205
2024-09-29 22:00:00,0.44092655
2024-09-29 23:00:00,0.48933154
2024-09-30 00:00:00,0.49223801
2024-09-30 01:00:00,0.46889302
2024-09-30 02:00:00,0.419694
2024-09-30 03:00:00,0.3497752
2024-09-30 04:00:00,0.27142847
2024-09-30 05:00:00,0.20754498
2024-09-30 06:00:00,0.23253344
2024-09-30 07:00:00,0.30061728
2024-09-30 08:00:00,0.38600072
2024-09-30 09:00:00,0.4865346
2024-09-30 10:00:00,0.5965439
2024-09-30 11:00:00,0.66385597
2024-09-30 12:00:00,0.6830253
2024-09-30 13:00:00,0.6708798
2024-09-30 14:00:00,0.62537104
2024-09-30 15:00:00,0.55235595
2024-09-30 16:00:00,0.46536466
2024-09-30 17:00:00,0.3806722
2024-09-30 18:00:00,0.34092623
2024-09-30 19:00:00,0.3939443
2024-09-30 20:00:00,0.46882486
2024-09-30 21:00:00,0.56128526
2024-09-30 22:00:00,0.6638289
2024-09-30 23:00:00,0.739638
2024-10-01 00:00:00,0.7716017
2024-10-01 01:00:00,0.7752326
2024-10-01 02:00:00,0.73872495
2024-10-01 03:00:00,0.6673689
2024-10-01 04:00:00,0.5805134
2024-10-01 05:00:00,0.4928494
2024-10-01 06:00:00,0.4335906
2024-10-01 07:00:00,0.4811754
2024-10-01 08:00:00,0.5620438
2024-10-01 09:00:00,0.6576787
2024-10-01 10:00:00,0.7602612
2024-10-01 11:00:00,0.8466393
2024-10-01 12:00:00,0.8847557
2024-10-01 13:00:00,0.89082205
2024-10-01 14:00:00,0.8578573
2024-10-01 15:00:00,0.78429
2024-10-01 16:00:00,0.6931255
2024-10-01 17:00:00,0.59895694
2024-10-01 18:00:00,0.52158767
2024-10-01 19:00:00,0.5316173
2024-10-01 20:00:00,0.6092718
2024-10-01 21:00:00,0.70346785
2024-10-01 22:00:00,0.80702966
2024-10-01 23:00:00,0.90156466
2024-10-02 00:00:00,0.95227504
2024-10-02 01:00:00,0.96889925
2024-10-02 02:00:00,0.94918066
2024-10-02 03:00:00,0.8800471
2024-10-02 04:00:00,0.7896287
2024-10-02 05:00:00,0.6942
2024-10-02 06:00:00,0.60916084
2024-10-02 07:00:00,0.5940586
2024-10-02 08:00:00,0.6739322
2024-10-02 09:00:00,0.77316415
2024-10-02 10:00:00,0.8750896
2024-10-02 11:00:00,0.9687934
2024-10-02 12:00:00,1.0262516
2024-10-02 13:00:00,1.0509627
2024-10-02 14:00:00,1.031713
2024-10-02 15:00:00,0.9617475
2024-10-02 16:00:00,0.8694333
2024-10-02 17:00:00,0.77294624
2024-10-02 18:00:00,0.6795008
2024-10-02 19:00:00,0.6317367
2024-10-02 20:00:00,0.68785334
2024-10-02 21:00:00,0.78448963
2024-10-02 22:00:00,0.89342123
2024-10-02 23:00:00,1.0022222
2024-10-03 00:00:00,1.0751576
2024-10-03 01:00:00,1.113729
2024-10-03 02:00:00,1.1109865
2024-10-03 03:00:00,1.0513624
2024-10-03 04:00:00,0.96110964
2024-10-03 05:00:00,0.8656034
2024-10-03 06:00:00,0.7671769
2024-10-03 07:00:00,0.6970841
2024-10-03 08:00:00,0.72567827
2024-10-03 09:00:00,0.8099225
2024-10-03 10:00:00,0.9114912
2024-10-03 11:00:00,1.0106664
2024-10-03 12:00:00,1.0828327
2024-10-03 13:00:00,1.115904
2024-10-03 14:00:00,1.1150577
2024-10-03 15:00:00,1.0616242
2024-10-03 16:00:00,0.97427946
2024-10-03 17:00:00,0.8812384
2024-10-03 18:00:00,0.78352964
2024-10-03 19:00:00,0.704059
2024-10-03 20:00:00,0.7190281
2024-10-03 21:00:00,0.80927545
2024-10-03 22:00:00,0.92211854
2024-10-03 23:00:00,1.0376636
2024-10-04 00:00:00,1.1317523
2024-10-04 01:00:00,1.186992
2024-10-04 02:00:00,1.205682
2024-10-04 03:00:00,1.1639652
2024-10-04 04:00:00,1.086203
2024-10-04 05:00:00,0.9860333
2024-10-04 06:00:00,0.8885247
2024-10-04 07:00:00,0.79889363
2024-10-04 08:00:00,0.77800655
2024-10-04 09:00:00,0.8507222
2024-10-04 10:00:00,0.9576979
2024-10-04 11:00:00,1.0623907
2024-10-04 12:00:00,1.1522303
2024-10-04 13:00:00,1.2038192
2024-10-04 14:00:00,1.2199914
2024-10-04 15:00:00,1.182332
2024-10-04 16:00:00,1.1065844
2024-10-04 17:00:00,1.0064754
2024-10-04 18:00:00,0.9087724
2024-10-04 19:00:00,0.8146036
2024-10-04 20:00:00,0.7768401
2024-10-04 21:00:00,0.8424195
2024-10-04 22:00:00,0.9543726
2024-10-04 23:00:00,1.0715885
2024-10-05 00:00:00,1.183577
2024-10-05 01:00:00,1.2647638
2024-10-05 02:00:00,1.301901
2024-10-05 03:00:00,1.2844992
2024-10-05 04:00:00,1.2147427
2024-10-05 05:00:00,1.1215729
2024-10-05 06:00:00,1.0164677
2024-10-05 07:00:00,0.9192794
2024-10-05 08:00:00,0.8506347
2024-10-05 09:00:00,0.88020736
2024-10-05 10:00:00,0.96394646
2024-10-05 11:00:00,1.0667503
2024-10-05 12:00:00,1.1586668
2024-10-05 13:00:00,1.2195158
2024-10-05 14:00:00,1.2490819
2024-10-05 15:00:00,1.2321467
2024-10-05 16:00:00,1.1711982
2024-10-05 17:00:00,1.0791117
2024-10-05 18:00:00,0.9824628
